CIP79-1T;20204;160610;12/05/16
CIP103239T;9314;160610;12/05/16
CIP103234T;9103;160610;12/05/16
CIP79-23T;10715;160610;12/05/16
CIP80-27T;7813;160610;12/05/16
CIP80-29T;;160610;12/05/16
CIP80-30T;;160610;12/05/16
CIP82-80T;11016;160610;12/05/16
CIP111058T;11016;160705;02/06/16
CIP111059T;11016;160705;02/06/16
CIP111060T;11016;160705;02/06/16
CIP111073;13116;160722;24/06/16
CIP108956T;34905;160722;24/06/16
CIP111074;13116;160722;24/06/16
CIP110890T;8316;160722;24/06/16
CIP111070;13116;160722;24/06/16
CIP111072;13116;160722;24/06/16
CIP110958T;13116;160722;24/06/16
CIP106855;;160726;24/06/16
CIP111067;;160722;24/06/16
CIP111068;;160722;24/06/16
CIP111069;;160722;24/06/16
CIP105774;;160722/161215/161222;13/07/16
CIP111020T;;160722;13/07/16
CIP105773;;160722;13/07/16
CIP110492;;160726;13/07/16
CIP107722T;;160722;13/07/16
CIP111077;;160802, refaite 12/09;13/07/16
CIP108250T;;160802, 160819 redeposit;13/07/16
CIP111078;;160802, 160916 redeposit;13/07/16
CIP111068;;160802;13/07/16
CIP111083;;160802;13/07/16
CIP111042;;160802;13/07/16
CIP111069;;160802, 160916 redeposit;13/07/16
CIP111079;;160802,  160916 redeposit;13/07/16
CIP110885;;160802;13/07/16
CIP111087;;160802;13/07/16
CIP110890T;;160802,  161018 redeposit;13/07/16
CIP110889;;160802;13/07/16
CIP111026T;;160722;13/07/16
CIP110823T;;160802, 161018 redeposit;13/07/16
CIP111028;;160729;13/07/16
CIP110924T;;160809, 160823 redeposit;13/07/16
CIP104062;;160729;13/07/16
CIP108091T;;160729;13/07/16
CIP111061T;;160729;13/07/16
CIP110872;15316;160729;13/07/16
CIP111054T;11016;160729;13/07/16
CIP110925;30315;160729;13/07/16
CIP101062T;17515;160729;13/07/16
CIP105459;;160729;13/07/16
CIP111085;;160809;22/07/16
CIP111086;;160809;22/07/16
CIP111084;;160809;22/07/16
CIP111080;;160809;22/07/16
CIP111094;15316;160909;22/07/16
CIP73-23T;2914;160909;22/07/16
CIP105101T;;160805;22/07/16
CIP64-69T;;160809;22/07/16
CIP111096T;;160809;22/07/16
CIP105836;;160809;22/07/16
CIP105614;;160809;22/07/16
CIP108575T;;160819;22/07/16
CIP111092T;;160809;22/07/16
CIP102796;;160809;22/07/16
CIP111095;;160805;22/07/16
CIP111093;;160902;28/07/16
CIP105365;;160902;28/07/16
CIP110449;;160902;28/07/16
CIP111031T;;160902;28/07/16
CIP107996T;;160902;28/07/16
CIP110658;;160902;28/07/16
CIP106493T;;160902;28/07/16
CIP104218;;160902;28/07/16
CIP111075;;160909;28/07/16
CIP111071;;160909;28/07/16
CIP111091T;;160909;28/07/16
CIP103130T;;160902;28/07/16
CIP111078;;160930;12/09/16
CIP111077;;160930, 161018 redeposit;12/09/16
CIP111087;;160930;12/09/16
CIP111076;;161004;12/09/16
CIP103064;;160930;12/09/16
CIP111082;;160930;12/09/16
CIP103206T;;160930;12/09/16
CIP110926;;160930;12/09/16
CIP68-21;;160930;12/09/16
CIP105830;;161007;12/09/16
CIP102303T;;160930;12/09/16
CIP54-158;;160930;12/09/16
CIP111057T;;160930;12/09/16
CIP110974T;;160930;12/09/16
CIP110980T;33415;161004;12/09/16
CIP111022T;4716;"160930/161122";12/09/16
CIP109613T;33415;160930, 161118;12/09/16
CIP101029T;2616;160930;12/09/16
CIP76-25;17613;161014;22/09/16
CIP110928;30315;161014;22/09/16
CIP110930;30315;161014;22/09/16
CIP110931;31015;161014;22/09/16
CIP110932;31015;161014;22/09/16
CIP110933;31015;161014;22/09/16
CIP110934;31015;161014;22/09/16
CIP110935;31015;161014;22/09/16
CIP110988T;1516;161014;22/09/16
CIP110940;31015;161014;22/09/16
CIP105701;;161021;22/09/16
CIP110981T;33415;161014;22/09/16
CIP106862T;984;161014;22/09/16
CIP111021T;4716;161014, 161025;22/09/16
CIP111079;16216;161014;22/09/16
CIP104542T;21815;161014;22/09/16
CIP105415;4916;161014;22/09/16
CIP111098T;16216;161014;22/09/16
CIP109456T;33415;161021;22/09/16
CIP109036T;8706;160126, 161118;25/10/16
CIP109830T;29615;161122;25/10/16
CIP110929;30315;161118;25/10/16
CIP110952T;32415;161118;25/10/16
CIP110936;31015;161118;25/10/16
CIP110937;31015;161118;25/10/16
CIP70-53;27816;161122;25/10/16
CIP70-63;27816;161122;25/10/16
CIP106742;4016;161118;25/10/16
CIP106876;32415;161118;25/10/16
CIP102739;28809;161118;25/10/16
CIP107967;;161202// 161122;25/10/16
CIP105769T;27816;161122;25/10/16
CIP110950T;2616;161125;25/10/16
CIP101029T;2616;161122;25/10/16
CIP110785T;1516;161122;25/10/16
CIP110980T;33415;161122;25/10/16
CIP111187T;28516;161125;08/11/16
